state,senator,Lat,Lon
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
AK,Dan Sullivan,63.5888,-154.4931
